Event Name,City,Country,Industry,Approx Attendees,Approx Speakers,Frequency,Typical Month,Website,Organiser / Contact,Contact Email,Priority,Existing Tool,Custom Pitch,Notes
Product-Led Summit New York,New York,US,Tech / SaaS / Product,350,55+,Annual,March,world.productledalliance.com,Product-Led Alliance,ruth@productledalliance.com (speakers) / sean@productledalliance.com (partners),High,Acara (event website),"Acara builds your event site. Seamless handles the speaker ops Acara doesn't touch - intake forms, portals, approval workflows, and social cards ready to share.","Ideal size and ratio. Small ops team. Tool-friendly audience. Uses Acara for event website - pitch Seamless as the ops layer Acara doesn't cover. ruth@ is the speaker contact."
UXDX USA,New York,US,Design / Product / UX,500,40+,Annual,May,uxdx.com/usa/2026,UXDX (Irish company - global editions),Form only (uxdx.com/contact),High,Custom Gatsby site + Ti.to (ticketing),"You built your own site and ticketing - but there's no speaker portal. Seamless gives every speaker a self-serve profile, handles intake, and generates branded social cards automatically.","Strong fit. 500 att / 40+ speakers. Technically literate small team. No public email - use contact form or find team via LinkedIn."
DDX Conference New York,New York,US,UX / Design / Digital Innovation,TBC,20-30 est.,Annual,June,ddxconference.com/newyork,DDX Conference Series - Ereza Rexhepi (Global Conference Management),Form only (ddxconference.com/contact),High,Squarespace (website) + Luma (ticketing) - no speaker tool,"Speaker headshots are manually uploaded to a Squarespace image carousel with no names or bios. Seamless adds a proper intake form, speaker portal, and branded social cards.","Attendee count unconfirmed for NYC edition. Speaker list is a raw Squarespace image carousel - no names, bios or links. No speaker tool at all - Seamless would be their first. Contact via form or LinkedIn."
Think Summit NYC,New York,US,Marketing / AI,1000+,TBC,Annual,June,thinksummit.nyc,Movable Ink (vendor-hosted event),events@movableink.com,Low,N/A - vendor event,N/A - not a prospect.,Vendor event run by Movable Ink for their customers/partners. Not an independent conference. Not a target prospect for Seamless.
Advertising Week New York,New York,US,Marketing / Advertising,16000,1200+,Annual,October,advertisingweek.com,Advertising Week (independent),info@advertisingweek.com,Medium,Unknown,"1,200+ speakers across 28 tracks is an operational challenge without a dedicated tool. Seamless centralises intake, card generation, and approval in one place - built for exactly this scale.","Above size range but 1,200+ speakers across 28 tracks is a strong pain-point fit. Longer sales cycle. Next edition Oct 2026."
SaaSiest London,London,UK,Tech / SaaS,300,35+,Annual,February,saasiestlondon.com,SaaSiest,contact@saasiest.com,High,Confetti (website + manual speaker entry) + Elfsight (sponsor logo grid),"You're adding 35 speakers to Confetti one by one. Seamless gives each speaker a portal to submit their own details, auto-generates their social cards, and keeps your listing fed - no manual entry.","Strong fit. Confetti handles the public speaker page but speakers are added manually one by one - no intake form, no portal, no bulk workflow. Elfsight widget for sponsor logos. $950 is a no-brainer budget decision."
Tech.eu Summit London,London,UK,Tech / Startup,TBC,70,Annual,April,tech.eu/event/2026/summit-london,Tech.eu editorial team,sales@tech.eu,High,Custom React CMS by parent company Webrazzi (own CDN + mobile app),"Your team uploads 70 speaker headshots manually to your own CMS. Seamless adds the intake layer - each speaker submits their own details and headshot, and gets a social card automatically.","Editorial team runs event via custom Webrazzi-built React platform. Owns full stack including mobile app and CDN. Sophisticated buyer - pitch is narrowly about intake and social cards, not website replacement. 2026 edition passed - target 2027."
#mtpcon London,London,UK,Product Management,1000+,20-30,Annual,June,mindtheproduct.com/mtpcon/london,Mind the Product (owned by Pendo),hello@mindtheproduct.com / sponsor@mindtheproduct.com,High,Next.js + Builder.io CMS (custom speaker cards) + Cvent (ticketing),"Your Next.js site handles the public speaker listing beautifully. Seamless handles what it can't - speaker intake, approval workflows, and social card generation for every speaker.","Pendo-owned. Custom Next.js frontend with Builder.io as headless CMS. Cvent for ticketing - enterprise procurement likely. Technically sophisticated team. Speaker cards are polished custom React components. Gap is intake/portal/social cards, not the website. Considered buyer - longer pitch cycle."
Festival of Marketing,London,UK,Marketing,2000+,132 (2025 edition),Annual,October,marketingweek.com/festival-of-marketing,Centaur Media / Marketing Week,fom@marketingweek.com,Medium,Livebuzz (event website + speaker listing) + Algolia search,"Livebuzz handles your public speaker listing across 9 stages - but it doesn't do intake, approval workflows, or social card generation. Seamless adds the ops layer Livebuzz doesn't cover.","132 speakers across 9 stages in 2025. Livebuzz provides the public-facing site and speaker listing (images via ik.imagekit.io/livebuzz CDN). Algolia InstantSearch powers the speaker search/filter UI. No speaker intake portal or social card generation. Centaur runs multiple events - referral path if landed. Next edition Oct 2026."
MAD//Fest London,London,UK,Marketing / Advertising / Brand,15000,100+,Annual,July,madfestlondon.com,MAD//Fest (independent),info@madfestlondon.com,Medium,Cvent (speaker listing + management) + Storyblok CMS + Alpine.js,"Cvent manages your speaker listing - but it doesn't generate branded social cards. Seamless adds the one piece Cvent doesn't cover: a social asset for every speaker, ready to share.","Above size range. Already on Cvent (enterprise) - harder sell for intake/portal. Social card generation is the only clear gap. Invite-only format - target speaker/programme team via LinkedIn. Storyblok CMS + Alpine.js on the site itself."
