Module,Screen,Test Case,Steps,Expected Result,Pass/Fail,Notes
AUTH,Login,Page loads,Navigate to /login,Login page renders with email input and Google sign-in button,,
AUTH,Login,Google sign-in,Click "Continue with Google",Google OAuth popup opens; on success redirects to /organizer,,
AUTH,Login,Email magic link — send,Enter valid email and click Continue,Success message shown confirming magic link sent to that email,,
AUTH,Login,Email magic link — invalid format,Enter invalid email and click Continue,Inline validation error shown; form does not submit,,
AUTH,Finish Signup,Magic link completion,Click magic link from email,/finish-signup loads; user authenticated and redirected to /organizer,,
AUTH,Login,Sign out,Click sign out from top nav,Session cleared; redirected to /login,,
AUTH,Protected route,Unauthenticated redirect,Navigate directly to /organizer without being logged in,Redirected to /login,,
ORGANIZER DASHBOARD,Event Dashboard,Page loads,Log in and land on /organizer,Dashboard loads with list of events and Create Event button visible,,
ORGANIZER DASHBOARD,Event Dashboard,Current events tab,Click "Current" tab,Only current/upcoming events shown,,
ORGANIZER DASHBOARD,Event Dashboard,Past events tab,Click "Past" tab,Only past events shown,,
ORGANIZER DASHBOARD,Event Dashboard,Navigate into event,Click an event card,Navigates to /organizer/event/:id/speakers,,
CREATE EVENT,Create Event Form,Form opens,Click "Create Event" on dashboard,Create event form opens with all fields,,
CREATE EVENT,Create Event Form,Required field validation,Submit form with empty title / no dates / no website,Validation errors shown on required fields; form does not submit,,
CREATE EVENT,Create Event Form,Start date picker,Click start date field,Date picker opens; date can be selected,,
CREATE EVENT,Create Event Form,End date picker,Click end date field,Date picker opens; date can be selected,,
CREATE EVENT,Create Event Form,Event image upload,Click image upload and select a file,Image uploads and previews correctly,,
CREATE EVENT,Create Event Form,Team selector required,Leave team unselected and submit,Error shown; form does not submit without a team,,
CREATE EVENT,Create Event Form,Module selection defaults,Open create form,Speakers module pre-checked by default,,
CREATE EVENT,Create Event Form,Submit creates event,Fill all required fields and click Create Event,Event created; redirected to /organizer/event/:id/speakers,,
SPEAKERS TAB,Speakers Tab,Tab loads,Navigate to /organizer/event/:id/speakers,Speakers tab loads with speakers list (or empty state),,
SPEAKERS TAB,Getting Started Checklist,Checklist visible on new event,Open Speakers tab on a newly created event,Getting Started Checklist displayed at top,,
SPEAKERS TAB,Getting Started Checklist,Checklist collapses,Click collapse icon on checklist,Checklist collapses; state persists on refresh (localStorage),,
SPEAKERS TAB,Getting Started Checklist,Checklist expands,Click expand on collapsed checklist,Checklist expands and shows steps,,
SPEAKERS TAB,Getting Started Checklist,Skip a step,Click Skip on a checklist step,Step marked as skipped; checklist progress updates,,
SPEAKERS TAB,Getting Started Checklist,Step CTA navigates,Click the CTA button on a checklist step,Navigates to the correct screen for that step,,
SPEAKERS TAB,Getting Started Checklist,Checklist dismisses when complete,Complete or skip all steps,Checklist auto-dismisses; does not reappear on refresh,,
SPEAKERS TAB,Search,Search by name,Type a speaker name into search box,Table filters to matching speakers in real time,,
SPEAKERS TAB,Search,Search by email,Type an email address into search box,Table filters to speakers with matching email,,
SPEAKERS TAB,Search,Search by company,Type a company name into search box,Table filters to speakers with matching company,,
SPEAKERS TAB,Search,Clear search,Clear search box,Full speaker list restored,,
SPEAKERS TAB,Status Filter,Filter: Active,Select "Active" from status filter,Only non-archived speakers shown,,
SPEAKERS TAB,Status Filter,Filter: Archived,Select "Archived" from status filter,Only archived speakers shown,,
